collection,judge,noise,rho,T,N_unlab,eps,act_t,act_ppi,ratio,wrong_t,wrong_ppi
dbpedia-entity,llm,0.0,0.6405896993445578,90,300,0.05,0.9166666666666666,0.9233333333333333,1.0072727272727273,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,50,0.005,0.15333333333333332,0.15333333333333332,1.0,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,50,0.01,0.2,0.23666666666666666,1.1833333333333333,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,50,0.02,0.3,0.35333333333333333,1.1777777777777778,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,50,0.05,0.77,0.6866666666666666,0.8917748917748918,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,100,0.005,0.12333333333333334,0.18333333333333332,1.4864864864864864,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,100,0.01,0.21,0.24666666666666667,1.1746031746031746,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,100,0.02,0.36,0.41,1.1388888888888888,0.006666666666666667,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,100,0.05,0.7766666666666666,0.77,0.9914163090128756,0.0033333333333333335,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,200,0.005,0.20666666666666667,0.24333333333333335,1.1774193548387097,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,200,0.01,0.15333333333333332,0.23,1.5,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,200,0.02,0.31333333333333335,0.39,1.2446808510638299,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,200,0.05,0.79,0.7766666666666666,0.9831223628691983,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,300,0.005,0.17333333333333334,0.22666666666666666,1.3076923076923077,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,300,0.01,0.24,0.3,1.25,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,60,300,0.02,0.29,0.42333333333333334,1.4597701149425288,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.3,0.5703084052138765,60,300,0.05,0.8166666666666667,0.82,1.0040816326530613,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,50,0.005,0.23333333333333334,0.24,1.0285714285714285,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,50,0.01,0.34,0.39666666666666667,1.1666666666666667,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,50,0.02,0.5466666666666666,0.5133333333333333,0.9390243902439024,0.0033333333333333335,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,50,0.05,0.9533333333333334,0.9033333333333333,0.9475524475524476,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,100,0.005,0.3233333333333333,0.33,1.0206185567010309,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,100,0.01,0.3466666666666667,0.4033333333333333,1.1634615384615385,0.0033333333333333335,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,100,0.02,0.6133333333333333,0.63,1.0271739130434783,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,100,0.05,0.92,0.9066666666666666,0.9855072463768116,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,200,0.005,0.2733333333333333,0.37,1.353658536585366,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,200,0.01,0.3566666666666667,0.44333333333333336,1.2429906542056075,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,200,0.02,0.53,0.6433333333333333,1.2138364779874213,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,200,0.05,0.9433333333333334,0.9233333333333333,0.9787985865724381,0.0033333333333333335,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,300,0.005,0.2733333333333333,0.38666666666666666,1.4146341463414633,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,300,0.01,0.36333333333333334,0.44333333333333336,1.2201834862385321,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,300,0.02,0.5466666666666666,0.6066666666666667,1.1097560975609757,0.0,0.0
dbpedia-entity,llm,0.3,0.5703084052138765,90,300,0.05,0.9066666666666666,0.91,1.0036764705882353,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,50,0.005,0.12666666666666668,0.13666666666666666,1.0789473684210527,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,50,0.01,0.24,0.21333333333333335,0.8888888888888888,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,50,0.02,0.3566666666666667,0.3566666666666667,1.0,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,50,0.05,0.77,0.7133333333333334,0.9264069264069265,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,100,0.005,0.15333333333333332,0.17333333333333334,1.1304347826086956,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,100,0.01,0.21,0.23,1.0952380952380953,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,100,0.02,0.38333333333333336,0.36,0.9391304347826087,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,100,0.05,0.7466666666666667,0.6866666666666666,0.9196428571428571,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,200,0.005,0.15333333333333332,0.19333333333333333,1.2608695652173914,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,200,0.01,0.20333333333333334,0.21333333333333335,1.0491803278688525,0.006666666666666667,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,200,0.02,0.37,0.37,1.0,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,200,0.05,0.76,0.7233333333333334,0.9517543859649122,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,300,0.005,0.15333333333333332,0.21,1.3695652173913044,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,300,0.01,0.24333333333333335,0.26666666666666666,1.095890410958904,0.0033333333333333335,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,300,0.02,0.37,0.36333333333333334,0.9819819819819819,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,60,300,0.05,0.8066666666666666,0.77,0.9545454545454546,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,50,0.005,0.27,0.27666666666666667,1.0246913580246915,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,50,0.01,0.36333333333333334,0.35333333333333333,0.9724770642201835,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,50,0.02,0.49333333333333335,0.44,0.8918918918918919,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.6,0.39408777045782095,90,50,0.05,0.94,0.8933333333333333,0.950354609929078,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,100,0.005,0.30333333333333334,0.2633333333333333,0.8681318681318682,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,100,0.01,0.37333333333333335,0.38,1.0178571428571428,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,100,0.02,0.5833333333333334,0.5666666666666667,0.9714285714285714,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,100,0.05,0.9466666666666667,0.92,0.971830985915493,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,200,0.005,0.32666666666666666,0.34,1.0408163265306123,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,200,0.01,0.37333333333333335,0.37,0.9910714285714286,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,200,0.02,0.56,0.5566666666666666,0.9940476190476191,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,200,0.05,0.93,0.9166666666666666,0.985663082437276,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,300,0.005,0.2733333333333333,0.2833333333333333,1.0365853658536586,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,300,0.01,0.3933333333333333,0.4166666666666667,1.0593220338983051,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,300,0.02,0.55,0.5466666666666666,0.9939393939393939,0.0,0.0
dbpedia-entity,llm,0.6,0.39408777045782095,90,300,0.05,0.91,0.92,1.010989010989011,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,50,0.005,0.14666666666666667,0.13666666666666666,0.9318181818181818,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,50,0.01,0.19,0.17333333333333334,0.9122807017543859,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,50,0.02,0.38,0.30333333333333334,0.7982456140350878,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.9,0.26116832038292265,60,50,0.05,0.8133333333333334,0.7433333333333333,0.9139344262295082,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,100,0.005,0.14333333333333334,0.10666666666666667,0.7441860465116279,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,100,0.01,0.20666666666666667,0.21666666666666667,1.0483870967741935,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,100,0.02,0.38333333333333336,0.34,0.8869565217391304,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.9,0.26116832038292265,60,100,0.05,0.7633333333333333,0.7033333333333334,0.9213973799126638,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.9,0.26116832038292265,60,200,0.005,0.15333333333333332,0.16,1.0434782608695652,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,200,0.01,0.23333333333333334,0.24666666666666667,1.0571428571428572,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,200,0.02,0.32666666666666666,0.30666666666666664,0.9387755102040817,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,200,0.05,0.7866666666666666,0.74,0.940677966101695,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,300,0.005,0.13666666666666666,0.15,1.0975609756097562,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,300,0.01,0.23666666666666666,0.24,1.0140845070422535,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,60,300,0.02,0.32,0.33,1.03125,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.9,0.26116832038292265,60,300,0.05,0.7633333333333333,0.72,0.9432314410480349,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,50,0.005,0.32666666666666666,0.24666666666666667,0.7551020408163265,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,50,0.01,0.3333333333333333,0.3233333333333333,0.97,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,50,0.02,0.5766666666666667,0.55,0.953757225433526,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,50,0.05,0.8933333333333333,0.8666666666666667,0.9701492537313433,0.0033333333333333335,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,100,0.005,0.24333333333333335,0.24,0.9863013698630136,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,100,0.01,0.36333333333333334,0.3233333333333333,0.8899082568807339,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,100,0.02,0.5433333333333333,0.5066666666666667,0.9325153374233128,0.0033333333333333335,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,100,0.05,0.9266666666666666,0.9,0.9712230215827338,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,200,0.005,0.2633333333333333,0.25,0.9493670886075949,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,200,0.01,0.4066666666666667,0.4,0.9836065573770492,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,200,0.02,0.5433333333333333,0.52,0.9570552147239264,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,200,0.05,0.95,0.9266666666666666,0.9754385964912281,0.0033333333333333335,0.0033333333333333335
dbpedia-entity,llm,0.9,0.26116832038292265,90,300,0.005,0.2866666666666667,0.27666666666666667,0.9651162790697675,0.0033333333333333335,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,300,0.01,0.39,0.38333333333333336,0.9829059829059829,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,300,0.02,0.56,0.5533333333333333,0.9880952380952381,0.0,0.0
dbpedia-entity,llm,0.9,0.26116832038292265,90,300,0.05,0.91,0.8933333333333333,0.9816849816849816,0.0,0.0
