collection,judge,noise,rho,T,N_unlab,eps,act_t,act_ppi,ratio,wrong_t,wrong_ppi
dl212223,llm,0.3,0.4049277454616207,90,50,0.05,1.0,0.9966666666666667,0.9966666666666667,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,100,0.005,0.66,0.6766666666666666,1.0252525252525253,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,100,0.01,0.81,0.7833333333333333,0.9670781893004116,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,100,0.02,0.92,0.9233333333333333,1.0036231884057971,0.0,0.0
dl212223,llm,0.3,0.4049277454616207,90,100,0.05,1.0,0.9966666666666667,0.9966666666666667,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,50,0.005,0.43,0.36,0.8372093023255814,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,50,0.01,0.5233333333333333,0.41333333333333333,0.7898089171974523,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,50,0.02,0.7766666666666666,0.6866666666666666,0.8841201716738197,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,50,0.05,0.9866666666666667,0.93,0.9425675675675675,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,100,0.005,0.42333333333333334,0.35,0.8267716535433071,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,100,0.01,0.5433333333333333,0.4866666666666667,0.8957055214723927,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,100,0.02,0.74,0.6266666666666667,0.8468468468468469,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,60,100,0.05,0.9966666666666667,0.95,0.9531772575250836,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,50,0.005,0.6566666666666666,0.5866666666666667,0.8934010152284264,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,50,0.01,0.7966666666666666,0.74,0.9288702928870293,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,50,0.02,0.9166666666666666,0.8933333333333333,0.9745454545454545,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,50,0.05,1.0,1.0,1.0,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,100,0.005,0.6433333333333333,0.6266666666666667,0.9740932642487047,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,100,0.01,0.7866666666666666,0.7366666666666667,0.9364406779661016,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,100,0.02,0.96,0.92,0.9583333333333334,0.0,0.0
dl212223,llm,0.6,0.34001399537437055,90,100,0.05,1.0,0.9966666666666667,0.9966666666666667,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,50,0.005,0.46,0.3466666666666667,0.7536231884057971,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,50,0.01,0.5433333333333333,0.44666666666666666,0.8220858895705522,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,50,0.02,0.7066666666666667,0.5966666666666667,0.8443396226415094,0.0,0.0
dl212223,llm,0.9,0.28003952023046547,60,50,0.05,0.9933333333333333,0.97,0.9765100671140939,0.0,0.0
