collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.6,0.3940877704578209,60,50,0.05,0.77,0.7133333333333334,0.9264069264069263,0.865,0.8,0.9122006841505131,0.851,0.9918414918414918,0.844,0.9894490035169988,0.851,0.9838150289017341
dbpedia-entity,0.6,0.3940877704578209,60,100,0.005,0.1533333333333333,0.1733333333333333,1.1304347826086956,0.117,0.123,1.1181818181818182,0.124,1.2525252525252524,0.102,1.1333333333333333,0.119,1.017094017094017
dbpedia-entity,0.6,0.3940877704578209,60,100,0.01,0.21,0.23,1.0952380952380951,0.153,0.149,1.0492957746478875,0.151,1.1705426356589146,0.164,1.1006711409395975,0.158,1.0326797385620916
dbpedia-entity,0.6,0.3940877704578209,60,100,0.02,0.3833333333333333,0.36,0.9391304347826088,0.277,0.267,0.946808510638298,0.323,1.2052238805970148,0.325,1.0869565217391306,0.297,1.0722021660649819
dbpedia-entity,0.6,0.3940877704578209,60,100,0.05,0.7466666666666667,0.6866666666666666,0.9196428571428572,0.865,0.823,0.9459770114942528,0.849,1.0216606498194947,0.854,1.005889281507656,0.862,0.9965317919075144
dbpedia-entity,0.6,0.3940877704578209,60,200,0.005,0.1533333333333333,0.1933333333333333,1.2608695652173914,0.104,0.112,1.1089108910891088,0.124,1.158878504672897,0.116,1.0740740740740742,0.12,1.153846153846154
dbpedia-entity,0.6,0.3940877704578209,60,200,0.01,0.2033333333333333,0.2133333333333333,1.0491803278688523,0.161,0.162,1.0384615384615385,0.19,1.0614525139664805,0.198,1.2452830188679245,0.156,0.9689440993788819
dbpedia-entity,0.6,0.3940877704578209,60,200,0.02,0.37,0.37,1.0,0.315,0.293,1.006872852233677,0.314,1.162962962962963,0.342,1.1752577319587632,0.336,1.0666666666666667
dbpedia-entity,0.6,0.3940877704578209,60,200,0.05,0.76,0.7233333333333334,0.9517543859649122,0.859,0.838,0.9732868757259001,0.866,1.0116822429906542,0.886,1.0045351473922903,0.84,0.9778812572759021
dbpedia-entity,0.6,0.3940877704578209,60,300,0.005,0.1533333333333333,0.21,1.3695652173913044,0.098,0.109,1.101010101010101,0.109,1.101010101010101,0.128,1.0406504065040652,0.112,1.1428571428571428
dbpedia-entity,0.6,0.3940877704578209,60,300,0.01,0.2433333333333333,0.2666666666666666,1.095890410958904,0.18,0.182,1.0224719101123596,0.185,1.2251655629139073,0.192,1.136094674556213,0.169,0.938888888888889
