collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
cast19,llm,45,0.02,oracle,0.06333333333333334,0.0,2414.4666666666667,973.36,1441.1066666666666,0.0,22458.945562449535,0.5796245267586078,full,t,False
cast19,llm,45,0.02,static_sum_v,0.04,0.0,2412.6966666666667,973.36,1439.3366666666666,0.0,24861.980554045385,0.5796245267586078,full,t,False
cast19,llm,45,0.02,oracle_exact,0.06666666666666667,0.0,2414.5233333333335,973.36,1441.1633333333334,0.0,14001.403001867748,0.5796245267586078,full,t,False
cast19,llm,45,0.02,plugin_exact,0.07333333333333333,0.0,2414.9266666666667,973.36,1441.5666666666666,0.0,72356.17368249003,0.5796245267586078,full,t,False
cast19,llm,60,0.01,static_sum,0.013333333333333334,0.0,2843.1066666666666,974.16,1868.9466666666667,0.0,29056.49501199887,0.6154445422876036,full,t,False
cast19,llm,60,0.01,per_pair,0.0033333333333333335,0.0,2758.1666666666665,974.16,1784.0066666666667,0.0,,0.6154445422876036,full,t,False
cast19,llm,60,0.01,adaptive,0.03666666666666667,0.0,2839.5666666666666,974.16,1865.4066666666668,0.0,27935.042735140265,0.6154445422876036,full,t,False
cast19,llm,60,0.01,oracle,0.023333333333333334,0.0,2841.483333333333,974.16,1867.3233333333333,0.0,23812.890556776256,0.6154445422876036,full,t,False
cast19,llm,60,0.01,static_sum_v,0.02,0.0,2843.8233333333333,974.16,1869.6633333333334,0.0,26785.23166745535,0.6154445422876036,full,t,False
cast19,llm,60,0.01,oracle_exact,0.03,0.0,2848.8433333333332,974.16,1874.6833333333334,0.0,12786.255658175565,0.6154445422876036,full,t,False
cast19,llm,60,0.01,plugin_exact,0.02,0.0,2851.3366666666666,974.16,1877.1766666666667,0.0,107260.49695116113,0.6154445422876036,full,t,False
cast19,llm,60,0.02,static_sum,0.07,0.0,2829.93,975.4566666666667,1854.4733333333331,0.0,12564.23392028114,0.6006261065573759,full,t,False
cast19,llm,60,0.02,per_pair,0.01,0.0,2757.5633333333335,975.4566666666667,1782.1066666666668,0.0,,0.6006261065573759,full,t,False
cast19,llm,60,0.02,adaptive,0.06333333333333334,0.0,2828.616666666667,975.4566666666667,1853.16,0.0,12027.812085652839,0.6006261065573759,full,t,False
cast19,llm,60,0.02,oracle,0.08666666666666667,0.0,2829.9466666666667,975.4566666666667,1854.49,0.0,10046.400459255316,0.6006261065573759,full,t,False
cast19,llm,60,0.02,static_sum_v,0.06333333333333334,0.0,2827.2833333333333,975.4566666666667,1851.8266666666666,0.0,11627.075282219097,0.6006261065573759,full,t,False
