collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,docs_pilot,docs_sampling,dup_frac,design_obj,nonoverlap,pilot_cost,bound,legacy
antique,llm,120,0.01,oracle_exact,0.0,0.0,3322.076666666667,632.08,2689.996666666667,0.0,3253.5571716156383,0.5775299627287931,full,bet,False
antique,llm,120,0.01,plugin_exact,0.0,0.0,3323.1566666666668,632.08,2691.076666666667,0.0,14612.319502078302,0.5775299627287931,full,bet,False
antique,llm,120,0.02,static_sum,0.0,0.0,3320.0066666666667,630.76,2689.246666666667,0.0,7240.668934674987,0.5841278177717419,full,bet,False
antique,llm,120,0.02,per_pair,0.0,0.0,3110.7433333333333,630.76,2479.9833333333336,0.0,,0.5841278177717419,full,bet,False
antique,llm,120,0.02,adaptive,0.0,0.0,3316.39,630.76,2685.63,0.0,6128.772295766113,0.5841278177717419,full,bet,False
antique,llm,120,0.02,oracle,0.0,0.0,3316.0333333333333,630.76,2685.2733333333335,0.0,4335.172060144107,0.5841278177717419,full,bet,False
antique,llm,120,0.02,static_sum_v,0.0,0.0,3315.09,630.76,2684.33,0.0,7393.0538508797,0.5841278177717419,full,bet,False
antique,llm,120,0.02,oracle_exact,0.0,0.0,3353.16,630.76,2722.3999999999996,0.0,1336.4365885693283,0.5841278177717419,full,bet,False
antique,llm,120,0.02,plugin_exact,0.0,0.0,3353.5433333333335,630.76,2722.7833333333338,0.0,7288.615561275934,0.5841278177717419,full,bet,False
antique,llm,150,0.01,static_sum,0.0,0.0,3836.4133333333334,632.8933333333333,3203.52,0.0,6430.785790261227,0.5747052403981819,full,bet,False
antique,llm,150,0.01,per_pair,0.0,0.0,3466.7733333333335,632.8933333333333,2833.88,0.0,,0.5747052403981819,full,bet,False
antique,llm,150,0.01,adaptive,0.0,0.0,3835.5633333333335,632.8933333333333,3202.67,0.0,5535.531199892248,0.5747052403981819,full,bet,False
antique,llm,150,0.01,oracle,0.0,0.0,3836.6666666666665,632.8933333333333,3203.773333333333,0.0,3821.8128231764804,0.5747052403981819,full,bet,False
antique,llm,150,0.01,static_sum_v,0.0,0.0,3837.18,632.8933333333333,3204.2866666666664,0.0,6537.628325108444,0.5747052403981819,full,bet,False
antique,llm,150,0.01,oracle_exact,0.0,0.0,3940.826666666667,632.8933333333333,3307.9333333333334,0.0,476.35998539491555,0.5747052403981819,full,bet,False
antique,llm,150,0.01,plugin_exact,0.0,0.0,3943.01,632.8933333333333,3310.116666666667,0.0,2842.453135356749,0.5747052403981819,full,bet,False
antique,llm,150,0.02,static_sum,0.0,0.0,3883.4333333333334,634.3433333333334,3249.09,0.0,3740.5779391510014,0.5826065590275659,full,bet,False
antique,llm,150,0.02,per_pair,0.0,0.0,3495.13,634.3433333333334,2860.786666666667,0.0,,0.5826065590275659,full,bet,False
antique,llm,150,0.02,adaptive,0.0,0.0,3879.06,634.3433333333334,3244.7166666666667,0.0,2979.9823307955426,0.5826065590275659,full,bet,False
antique,llm,150,0.02,oracle,0.0,0.0,3878.39,634.3433333333334,3244.0466666666666,0.0,2051.6652518196506,0.5826065590275659,full,bet,False
antique,llm,150,0.02,static_sum_v,0.0,0.0,3879.4666666666667,634.3433333333334,3245.1233333333334,0.0,3900.2276564846543,0.5826065590275659,full,bet,False
antique,llm,150,0.02,oracle_exact,0.013333333333333334,0.0,3983.25,634.3433333333334,3348.9066666666668,0.0,121.51538399443085,0.5826065590275659,full,bet,False
antique,llm,150,0.02,plugin_exact,0.01,0.0,3984.73,634.3433333333334,3350.3866666666668,0.0,497.83722606301114,0.5826065590275659,full,bet,False
