collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,var_ratio,cost_ratio,saving_pred,saving_obs
antique,llm,0.01,ai_resid,631.7119907407409,850.5957333333333,780.6875490196078,0.25732993244020397,0.6763739567095559,0.6806149991511913,0.0832786678558205,0.08218732069083845
antique,llm,0.01,ai_robust_0.3,631.7119907407409,850.5957333333333,784.0561847389558,0.25732993244020397,0.6515235288645089,0.6960050673191049,0.0896734267742966,0.07822699548893908
antique,llm,0.01,ai_robust_0.5,631.7119907407409,850.5957333333333,780.5719047619048,0.25732993244020397,0.6446425551924929,0.6800866627095111,0.09144410726443931,0.08232327747168167
antique,llm,0.01,strat_pilot,631.7119907407409,850.5957333333333,876.682987012987,0.25732993244020397,1.0095813973194119,1.1191831488746509,-0.00246558032488701,-0.030669391647924593
antique,llm,0.01,uniform,631.7119907407409,850.5957333333333,1575.6395029239766,0.25732993244020397,3.9946443742473803,4.312460582968763,-0.7706116345075152,-0.8523952580261904
antique,llm,0.01,uniform_nz,631.7119907407409,850.5957333333333,1220.1705376344087,0.25732993244020397,2.7841145411027193,2.688452508731833,-0.45910607432754824,-0.4344893700004553
antique,llm,0.01,weighted_cv,631.7119907407409,850.5957333333333,794.0315789473684,0.25732993244020397,0.6578517764862654,0.7415790057498807,0.08804497924132514,0.0664994569915135
antique,llm,0.01,weighted_cvl,631.7119907407409,850.5957333333333,801.2495698924731,0.25732993244020397,0.7019405704243257,0.7745553742074482,0.07669961287587401,0.05801365032420436
antique,llm,0.02,active_cv,631.1158796296295,835.5223611111111,868.6706140350879,0.24464513578027247,1.443683061857791,1.162168306424177,-0.10854490291160629,-0.03967368734439969
antique,llm,0.02,active_judge,631.1158796296295,835.5223611111111,1187.4076969696969,0.24464513578027247,3.137448419692354,2.7214979354285553,-0.5229163588589648,-0.42115609615837757
antique,llm,0.02,ai_calib,631.1158796296295,835.5223611111111,797.777619047619,0.24464513578027247,0.9021776339098891,0.8153446906872591,0.023931766034462693,0.04517502321936373
antique,llm,0.02,ai_resid,631.1158796296295,835.5223611111111,753.1854480286738,0.24464513578027247,0.613730713271138,0.597190301962628,0.09449890209953143,0.09854543326996346
antique,llm,0.02,ai_robust_0.3,631.1158796296295,835.5223611111111,748.1322619047619,0.24464513578027247,0.6347917206066981,0.572469040252687,0.08934642910025403,0.10459336969765154
antique,llm,0.02,ai_robust_0.5,631.1158796296295,835.5223611111111,742.3324,0.24464513578027247,0.631029647208393,0.5440948817488759,0.09026680205759771,0.11153496955746744
antique,llm,0.02,strat_pilot,631.1158796296295,835.5223611111111,823.2256272401434,0.24464513578027247,0.9875621082501999,0.9398417614654663,0.0030428697159501873,0.014717420434583017
antique,llm,0.02,uniform,631.1158796296295,835.5223611111111,1404.5272508591067,0.24464513578027247,4.120231368487997,3.7836929906723396,-0.7633494268096114,-0.6810169496736271
antique,llm,0.02,uniform_nz,631.1158796296295,835.5223611111111,1107.2803225806451,0.24464513578027247,2.6625030613623584,2.3294977708138584,-0.4067232871821128,-0.32525516266032595
antique,llm,0.02,weighted_cv,631.1158796296295,835.5223611111111,762.3942512077296,0.24464513578027247,0.6484674485582129,0.6422417265178225,0.08600072877866162,0.0875238213925631
antique,llm,0.02,weighted_cvl,631.1158796296295,835.5223611111111,770.0307590759076,0.24464513578027247,0.6820530044058383,0.6796011478670415,0.0777841859080634,0.07838402068391104
antique,rr,0.01,active_cv,631.7119907407409,850.5957333333333,907.6483333333333,0.25732993244020397,1.387482710985209,1.2606525241401405,-0.09971089983957092,-0.06707369642735106
antique,rr,0.01,active_judge,631.7119907407409,850.5957333333333,1268.5380952380956,0.25732993244020397,2.8504747176206613,2.909426241320613,-0.4761825340676303,-0.491352525678586
antique,rr,0.01,ai_calib,631.7119907407409,850.5957333333333,884.4297740112995,0.25732993244020397,1.1646961603852077,1.1545753936643042,-0.0423812518250865,-0.03977687560855325
antique,rr,0.01,ai_resid,631.7119907407409,850.5957333333333,813.9346666666667,0.25732993244020397,0.8108965299579102,0.8325089555193517,0.04866198317013911,0.04310045916054439
antique,rr,0.01,ai_robust_0.3,631.7119907407409,850.5957333333333,811.7354166666667,0.25732993244020397,0.8096242132082558,0.8224613842655402,0.0489893883533702,0.04568599999247591
antique,rr,0.01,ai_robust_0.5,631.7119907407409,850.5957333333333,816.7991111111111,0.25732993244020397,0.7997612109093369,0.845595557614675,0.051527434068608574,0.03973288472748304
antique,rr,0.01,strat_pilot,631.7119907407409,850.5957333333333,876.682987012987,0.25732993244020397,1.0095813973194119,1.1191831488746509,-0.00246558032488701,-0.030669391647924593
antique,rr,0.01,uniform,631.7119907407409,850.5957333333333,1575.6395029239766,0.25732993244020397,3.9946443742473803,4.312460582968763,-0.7706116345075152,-0.8523952580261904
