collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,mc_var_human,mc_var_ppi,mc_mse_human,mc_mse_ppi,mc_gain,cover90_human,cover90_ppi,theory_gain,lam_mean
scifact,rr,glob_probe_vs_trunc,30,300,0.9084563222975668,0.24272193400652717,0.31712252990433665,0.06884893915640349,0.06842669216872972,1.0123796657045496,0.004131659759004176,0.003991854139306967,0.004135757378972525,0.003993255590534397,1.0356856167123172,0.924,0.928,1.062602071776071,0.5187135626157054
scifact,rr,glob_probe_vs_trunc,90,300,0.9084563222975668,0.24272193400652717,0.31712252990433665,0.039647576717116224,0.03945064665517702,1.0100085345730816,0.0010950316681437309,0.0010981479158578252,0.001093573273345073,0.001097089732453562,0.9967947388399809,0.952,0.942,1.062602071776071,0.5030301815963089
scifact,rr,glob_probe_vs_ad_probe,10,300,0.9084563222975668,0.2011059339892394,0.04558345358345359,0.0685053625009459,0.06828140265776232,1.006570665610737,0.005066471997611159,0.005099087485021509,0.005066670377056717,0.005094494346934693,0.9945384236426295,0.898,0.894,1.0421482223931724,0.45557028738738653
scifact,rr,glob_probe_vs_ad_probe,30,300,0.9084563222975668,0.2011059339892394,0.04558345358345359,0.04173663083776124,0.04164906309457908,1.0042094488027873,0.0016660793873926251,0.0017033698356385555,0.0016660941747903462,0.0017008401979954745,0.979571259401043,0.916,0.918,1.0421482223931724,0.4619331014451373
scifact,rr,glob_probe_vs_ad_probe,90,300,0.9084563222975668,0.2011059339892394,0.04558345358345359,0.024271692332477755,0.024509098756354774,0.9807209059607906,0.00039207480259633007,0.00039624639347140953,0.0003929008622111642,0.000398153018126115,0.9868086999825599,0.954,0.96,1.0421482223931724,0.39236586891570263
scifact,rr,trunc_vs_ad_probe,10,300,0.9084563222975668,0.03690830339984608,-0.27153907632088303,0.09646323436465139,0.09974666497659411,0.9352481784977041,0.00952992534326383,0.010349086714810756,0.00962272479519035,0.010399449965441917,0.9253109373252741,0.908,0.896,1.0013640810422335,0.3683656646979689
scifact,rr,trunc_vs_ad_probe,30,300,0.9084563222975668,0.03690830339984608,-0.27153907632088303,0.055565185592859494,0.05651162147970957,0.9667852175565455,0.002957165032161604,0.003151280990683216,0.0029512850449345826,0.0031451472098858488,0.9383614972482315,0.906,0.902,1.0013640810422335,0.27319535473422557
scifact,rr,trunc_vs_ad_probe,90,300,0.9084563222975668,0.03690830339984608,-0.27153907632088303,0.03248899863942105,0.032826416331737024,0.9795479618242448,0.0007826374623783289,0.0008004830167373264,0.0007824160166932766,0.0007997417312549903,0.9783358628359615,0.954,0.96,1.0013640810422335,0.15939890022905176
arguana,rr,glob_probe_vs_trunc,10,1406,0.8219643040194995,0.1538809936481379,0.046801585081160106,0.048031301766841,0.05012029425830877,0.9183780397290938,0.0024447159887070755,0.0027685342787741947,0.002449008253722642,0.0027697483316533166,0.8841988370332483,0.896,0.888,1.0242536716330588,0.32476076039475993
arguana,rr,glob_probe_vs_trunc,30,1406,0.8219643040194995,0.1538809936481379,0.046801585081160106,0.028898146396416902,0.029327615810440442,0.9709267284171723,0.0008599449291232489,0.0009022828519216744,0.0008597952044279073,0.0009012935383717308,0.9539569161687389,0.894,0.892,1.0242536716330588,0.271303002392337
arguana,rr,glob_probe_vs_trunc,90,1406,0.8219643040194995,0.1538809936481379,0.046801585081160106,0.01663562767536603,0.016615975155336995,1.002366895934749,0.00027766930937962866,0.0002749261425613844,0.0002775157691990624,0.00027456760826775146,1.0107374680863155,0.884,0.884,1.0242536716330588,0.23319279654449104
arguana,rr,glob_probe_vs_ad_probe,10,1406,0.8219643040194995,0.08182677311124023,0.09758311172479332,0.07152137807043563,0.07348149298068231,0.9473616593403709,0.005264430571555121,0.0056664482486253245,0.0052541856396280074,0.005664868100794596,0.9275036145838977,0.912,0.906,1.0067407543327014,0.34125815122178554
arguana,rr,glob_probe_vs_ad_probe,30,1406,0.8219643040194995,0.08182677311124023,0.09758311172479332,0.042332784545751324,0.042858274240581626,0.9756281295702881,0.001742331431563004,0.001729363705058558,0.001739892118968096,0.0017271065537088459,1.0074028815603728,0.906,0.916,1.0067407543327014,0.24119859264337515
arguana,rr,glob_probe_vs_ad_probe,90,1406,0.8219643040194995,0.08182677311124023,0.09758311172479332,0.024208338574507954,0.02432228914618605,0.990651896269715,0.0005488652567993045,0.0005585938315569395,0.0005502595745368789,0.0005594749093553804,0.983528600363653,0.918,0.922,1.0067407543327014,0.16362497305786014
arguana,rr,trunc_vs_ad_probe,10,1406,0.8219643040194995,0.14374896687316027,0.05078152664363322,0.06076792995116921,0.0635759928963919,0.9136136548407756,0.004470058147288199,0.0046904662789632925,0.004505710614553949,0.004732340010479254,0.952110500212694,0.902,0.902,1.0210997660953163,0.3413604241873911
