collection,judge,eps,quantity,point,lo,hi,mc_se,n_reached,boot
cast19,llm,0.01,saving uniform->uniform_nz,,0.38077308466488435,0.3940969047794951,0.006246977293463367,3,1000
cast19,llm,0.01,saving uniform_nz->weighted,0.2036365340168631,0.17078763578347125,0.2422246942877801,0.018149478567869838,1000,1000
cast19,llm,0.01,saving uniform->weighted,,0.5043590054710361,0.5268555237767766,0.00976464681985753,3,1000
cast19,llm,0.01,saving weighted->weighted_cvl,0.21107778718601833,0.14964293555937458,0.27840318915452245,0.03310485354789718,1000,1000
cast19,llm,0.01,saving weighted->weighted_cv,0.15130056376577672,0.09185663535288376,0.19850265033988757,0.02706804081196693,1000,1000
cast19,rr,0.01,J50[active_cv],3074.2677604166665,2927.2248141762457,3239.1598675385644,79.10719710900514,1000,1000
cast19,rr,0.01,J50[active_judge],3457.16,3372.452807793643,3540.73862959694,43.392217172073615,1000,1000
cast19,rr,0.01,J50[strat_pilot],2736.5570588235296,2538.1665079656864,2910.251513257576,91.90722977938809,1000,1000
cast19,rr,0.01,J50[uniform],,5608.235862087911,5728.597,43.23156242685529,5,1000
cast19,rr,0.01,J50[uniform_nz],3485.0226754385963,3374.3291530925617,3607.683235385572,58.2245810630629,1000,1000
cast19,rr,0.01,J50[weighted],2775.3447368421052,2654.985940012255,2882.996925189394,56.85637912607768,1000,1000
cast19,rr,0.01,J50[weighted_cv],2698.90729468599,2556.9188854875283,2815.7101600941255,65.21439830739952,1000,1000
cast19,rr,0.01,J50[weighted_cvl],2420.6156462585036,2317.0940159165034,2575.178198924731,70.04676773096779,1000,1000
cast19,rr,0.01,saving uniform->uniform_nz,,0.36635550633210573,0.4054585853840708,0.013985210817689914,5,1000
cast19,rr,0.01,saving uniform_nz->weighted,0.2036365340168631,0.1688231471379021,0.24208414752287513,0.018466368796103118,1000,1000
cast19,rr,0.01,saving uniform->weighted,,0.48871779018554834,0.5170592668945292,0.01102612507539432,5,1000
cast19,rr,0.01,saving weighted->weighted_cvl,0.1278144245918892,0.07384589709185005,0.17084028374008212,0.024839382656968192,1000,1000
cast19,rr,0.01,saving weighted->weighted_cv,0.02754160272106898,-0.006674634194959411,0.07108916213654713,0.020003181854799015,1000,1000
dbpedia-entity,llm,0.01,J50[active_cv],4861.6,4441.198160661765,5170.119746527777,176.74646666141354,1000,1000
dbpedia-entity,llm,0.01,J50[active_judge],6039.537747747748,5427.698069556452,6563.719315686275,262.51686515645605,991,1000
dbpedia-entity,llm,0.01,J50[strat_pilot],3870.153333333333,3459.9584890543365,4551.699833333332,290.10311635474727,1000,1000
dbpedia-entity,llm,0.01,J50[uniform],,,,,0,1000
dbpedia-entity,llm,0.01,J50[uniform_nz],5838.9775,5198.23647851481,6417.748187499999,327.7118040215398,995,1000
dbpedia-entity,llm,0.01,J50[weighted],3580.780196078431,3362.831187106918,4093.9272634408603,197.43063945368334,1000,1000
dbpedia-entity,llm,0.01,J50[weighted_cv],3141.202878787879,2672.967146139851,3755.861255110555,284.2829691113137,1000,1000
dbpedia-entity,llm,0.01,J50[weighted_cvl],3237.470641025641,2312.873103259452,3469.659451199883,258.7137426481558,1000,1000
dbpedia-entity,llm,0.01,saving uniform->uniform_nz,,,,,0,1000
dbpedia-entity,llm,0.01,saving uniform_nz->weighted,0.3867453340797372,0.25771944977632294,0.4547628816451367,0.04921701754022391,995,1000
dbpedia-entity,llm,0.01,saving uniform->weighted,,,,,0,1000
dbpedia-entity,llm,0.01,saving weighted->weighted_cvl,0.09587562940299243,0.039941524396637375,0.36479780241586013,0.07777442567802056,1000,1000
dbpedia-entity,llm,0.01,saving weighted->weighted_cv,0.12276020677615584,0.0020884902754545096,0.28412159562032535,0.07441279009499308,1000,1000
dbpedia-entity,rr,0.01,J50[active_cv],4332.303333333333,3630.359811547148,4926.791238917305,335.49596764436984,1000,1000
dbpedia-entity,rr,0.01,J50[active_judge],6434.98375,6042.17923988006,6784.598659003832,188.02660743685564,959,1000
dbpedia-entity,rr,0.01,J50[strat_pilot],3870.153333333333,3468.751816666667,4587.012734090909,288.7367061301938,1000,1000
dbpedia-entity,rr,0.01,J50[uniform],,,,,0,1000
dbpedia-entity,rr,0.01,J50[uniform_nz],5838.9775,5187.676145833334,6448.686912137681,322.91371859714224,998,1000
dbpedia-entity,rr,0.01,J50[weighted],3580.780196078431,3359.7027028423777,4081.2296541666665,195.13156373319998,1000,1000
