collection,eps,n_train,fixed_cand,method,feasible_frac,slack_med,slack_q25,act_feasible_max,act_max,wrong_max,docs_pilot,J50_total,J50_sampling,budgets
antique,0.03,20,pilot,plugin_exact,0.8733333333333333,0.030000000000000002,0.030000000000000002,0.9847328244274808,0.86,0.0,630.68,989.86,359.18000000000006,9
antique,0.03,40,pilot,plugin_exact,0.9600000000000001,0.030000000000000002,0.030000000000000002,0.9965277777777778,0.9566666666666668,0.0,1268.49,1588.9033333333334,320.4133333333334,9
antique,0.03,80,pilot,plugin_exact,1.0,0.030000000000000002,0.030000000000000002,1.0,1.0,0.0,2529.8566666666666,2770.2433333333333,240.3866666666668,9
antique,0.03,10,pilot,static_sum,0.7933333333333333,0.030000000000000002,0.030000000000000002,0.9663865546218487,0.7666666666666667,0.0,315.14666666666665,755.4446666666668,440.2980000000001,9
antique,0.03,20,pilot,static_sum,0.8733333333333333,0.030000000000000002,0.030000000000000002,0.9770992366412212,0.8533333333333334,0.0,630.68,991.2666666666668,360.5866666666667,9
antique,0.03,40,pilot,static_sum,0.9600000000000001,0.030000000000000002,0.030000000000000002,0.9895833333333334,0.95,0.0,1268.49,1588.0466666666666,319.5566666666666,9
antique,0.03,80,pilot,static_sum,1.0,0.030000000000000002,0.030000000000000002,1.0,1.0,0.0,2529.8566666666666,2769.116666666667,239.26000000000025,9
cast19,0.01,20,best,oracle_exact,1.0,0.01,0.01,1.0,1.0,0.0,972.3033333333331,3085.8678974358972,2113.564564102564,9
cast19,0.01,20,best,per_pair,1.0,0.01,0.01,0.05,0.05,0.0,972.3033333333331,,,9
cast19,0.01,20,best,plugin_exact,1.0,0.01,0.01,1.0,1.0,0.0,972.3033333333331,3262.2741666666666,2289.9708333333333,9
cast19,0.01,20,best,static_sum,1.0,0.01,0.01,1.0,1.0,0.0,972.3033333333331,3329.5466666666666,2357.2433333333333,9
cast19,0.01,10,pilot,oracle_exact,0.73,0.01,0.0056404299351277,1.0,0.73,0.0,490.52000000000004,3809.066793248945,3318.546793248945,9
cast19,0.01,20,pilot,oracle_exact,0.8533333333333334,0.01,0.0085235358833418,1.0,0.8533333333333334,0.0,974.6466666666666,3629.199369369369,2654.5527027027024,7
cast19,0.01,40,pilot,oracle_exact,0.9266666666666666,0.01,0.0085235358833418,1.0,0.9266666666666666,0.0,1954.5433333333333,4199.148888888889,2244.605555555556,9
cast19,0.01,80,pilot,oracle_exact,0.9966666666666667,0.01,0.0085235358833418,1.0,0.9966666666666668,0.0,3905.71,5160.18962962963,1254.4796296296295,9
cast19,0.01,10,pilot,per_pair,0.73,0.01,0.0056404299351277,0.0639269406392694,0.0466666666666666,0.0,490.52000000000004,,,9
cast19,0.01,20,pilot,per_pair,0.8533333333333334,0.01,0.0085235358833418,0.046875,0.04,0.0,974.6466666666666,,,7
cast19,0.01,40,pilot,per_pair,0.9266666666666666,0.01,0.0085235358833418,0.014388489208633,0.0133333333333333,0.0,1954.5433333333333,,,9
cast19,0.01,80,pilot,per_pair,0.9966666666666667,0.01,0.0085235358833418,0.0133779264214046,0.0133333333333333,0.0,3905.71,,,9
cast19,0.01,10,pilot,plugin_exact,0.73,0.01,0.0056404299351277,1.0,0.73,0.0,490.52000000000004,4088.94688172043,3598.4268817204297,9
cast19,0.01,20,pilot,plugin_exact,0.8533333333333334,0.01,0.0085235358833418,1.0,0.8533333333333334,0.0,974.6466666666666,3802.410185185184,2827.7635185185186,7
cast19,0.01,40,pilot,plugin_exact,0.9266666666666666,0.01,0.0085235358833418,1.0,0.9266666666666666,0.0,1954.5433333333333,4270.451301369863,2315.90796803653,9
cast19,0.01,80,pilot,plugin_exact,0.9966666666666667,0.01,0.0085235358833418,1.0,0.9966666666666668,0.0,3905.71,5210.222857142857,1304.512857142857,9
cast19,0.01,10,pilot,static_sum,0.73,0.01,0.0056404299351277,0.954337899543379,0.6966666666666667,0.0,490.52000000000004,4367.830990990991,3877.310990990991,9
cast19,0.01,20,pilot,static_sum,0.8533333333333334,0.01,0.0085235358833418,0.97265625,0.83,0.0,974.6466666666666,4349.255761904762,3374.6090952380955,7
cast19,0.01,40,pilot,static_sum,0.9266666666666666,0.01,0.0085235358833418,0.9892086330935252,0.9166666666666666,0.0,1954.5433333333333,4629.348888888889,2674.8055555555557,9
