collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,vr_pred_med,vr_pred_q25,vr_pred_q75,cost_ratio_obs,saving_pred_med,saving_obs,L_post_obs,L_post_pred_med,L_post_pred_q25,L_post_pred_q75,share_pred_med,saving_pred_pilot_med,frac_draws_recommend_pilot,frac_draws_recommend,cell_truth,slack_pilot_med,slack_true_med
cast19,rr,0.01,active_cv,974.7662962962963,2775.3447368421052,3074.2677604166665,0.6487764985169291,1.6841995646776449,1.2992573663003242,2.1382940596262032,1.1660149965385285,-0.4438925978583696,-0.10770662815556653,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.3940038102010893,0.08,0.07666666666666666,0,0.02680795714259165,0.01
cast19,rr,0.01,active_judge,974.7662962962963,2775.3447368421052,3457.16,0.6487764985169291,2.3942551186749927,2.1431290308168864,2.6814320173213813,1.3786645712314627,-0.9045599539332672,-0.24566867463596265,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.7943498665695823,0.0,0.0,0,0.02680795714259165,0.01
cast19,rr,0.01,strat_pilot,974.7662962962963,2775.3447368421052,2736.5570588235296,0.6487764985169291,0.999776407813454,0.9978273350699164,1.0002444232666852,0.9784582125692797,0.000145061355883055,0.013975805421098664,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.00012618532819185923,0.0,0.0,0,0.02680795714259165,0.01
cast19,rr,0.01,uniform_nz,974.7662962962963,2775.3447368421052,3485.0226754385963,0.6487764985169291,1.4994187737372404,1.1811021993290232,2.7115504978904803,1.3941388626098214,-0.32401116331886526,-0.255708031213445,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.3287961198489562,0.0,0.0,0,0.02680795714259165,0.01
cast19,rr,0.01,weighted_cv,974.7662962962963,2775.3447368421052,2698.90729468599,0.6487764985169291,1.0384092176896953,0.8615683528460482,1.2600672710472955,0.957548396429236,-0.02491899776349501,0.02754160272106898,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,-0.021694740775326474,0.31,0.33,0,0.02680795714259165,0.01
cast19,rr,0.01,weighted_cvl,974.7662962962963,2775.3447368421052,2420.6156462585036,0.6487764985169291,0.6796656791294824,0.5620305529001659,0.8521754523629809,0.8029915928149886,0.2078253790491728,0.1278144245918892,1800.578440545809,1518.6414530606135,816.7417467359339,2934.666229011637,0.609033494288553,0.17791499975572386,0.82,0.86,1,0.02680795714259165,0.01
dbpedia-entity,llm,0.01,active_cv,1028.6509090909092,3580.780196078431,4861.6,0.7127299491274391,2.0914487494013496,1.7089065918042823,2.4741159540667903,1.5018632129853506,-0.7779082116360312,-0.35769294225998216,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-0.5283751577307344,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,llm,0.01,active_judge,1028.6509090909092,3580.780196078431,6039.537747747748,0.7127299491274391,3.5139541340957123,3.0712133987083607,3.9744750430209455,1.9634141828965026,-1.791770402102752,-0.6866541415644776,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-1.3783348670133289,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,llm,0.01,strat_pilot,1028.6509090909092,3580.780196078431,3870.153333333333,0.7127299491274391,0.9993646319988001,0.9971975604394754,1.0005034965068504,1.1133849835626755,0.00045284580317236684,-0.08081287356644107,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,0.00029679935798320074,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,llm,0.01,uniform_nz,1028.6509090909092,3580.780196078431,5838.9775,0.7127299491274391,1.3157175537395482,1.1783469384145178,1.6196982010486185,1.8848287253452964,-0.22502135601542766,-0.63064393240185,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-0.18206222810695263,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,llm,0.01,weighted_cv,1028.6509090909092,3580.780196078431,3141.202878787879,0.7127299491274391,0.6706702824830808,0.5984149869871059,0.7559626315453204,0.827760560747524,0.23472315281198775,0.12276020677615584,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,0.17423470667588942,0.9133333333333333,0.9733333333333334,1,0.030102310267390152,0.01
dbpedia-entity,llm,0.01,weighted_cvl,1028.6509090909092,3580.780196078431,3237.470641025641,0.7127299491274391,0.6377920184181074,0.5758798998687624,0.6972298602541432,0.8654811271500964,0.2581564762864147,0.09587562940299243,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,0.1982180468124442,0.9533333333333334,0.9933333333333333,1,0.030102310267390152,0.01
dbpedia-entity,rr,0.01,active_cv,1028.6509090909092,3580.780196078431,4332.303333333333,0.7127299491274391,1.1832918333922962,0.9520580166772864,1.4831816833972158,1.294469069841671,-0.1306375790891662,-0.2098769251678585,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-0.07835226943210616,0.18666666666666668,0.21333333333333335,0,0.030102310267390152,0.01
dbpedia-entity,rr,0.01,active_judge,1028.6509090909092,3580.780196078431,6434.98375,0.7127299491274391,2.4581340215843284,2.16989537752702,2.791964890521451,2.1183616631313416,-1.0392557870247865,-0.7970898512696794,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-0.7801675752221977,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,rr,0.01,strat_pilot,1028.6509090909092,3580.780196078431,3870.153333333333,0.7127299491274391,0.9993646319988001,0.9971975604394754,1.0005034965068504,1.1133849835626755,0.00045284580317236684,-0.08081287356644107,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,0.00029679935798320074,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,rr,0.01,uniform_nz,1028.6509090909092,3580.780196078431,5838.9775,0.7127299491274391,1.3157175537395482,1.1783469384145178,1.6196982010486185,1.8848287253452964,-0.22502135601542766,-0.63064393240185,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,-0.18206222810695263,0.0,0.0,0,0.030102310267390152,0.01
dbpedia-entity,rr,0.01,weighted_cv,1028.6509090909092,3580.780196078431,3613.319462365591,0.7127299491274391,0.8721256678157456,0.7555975789551566,1.0375197338605546,1.0127498502732863,0.09113986627238888,-0.009087200136661755,2552.1292869875215,1382.4096512304718,589.512416968499,3236.1052641483448,0.5733616080995327,0.05829214903339894,0.5566666666666666,0.61,0,0.030102310267390152,0.01
