collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
webis-touche2020,rr,2,0.01,uniform_nz,21,762,0.05852924608185335,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,weighted,21,762,0.047962098201586756,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,active_judge,21,762,0.11081051997531373,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,strat_pilot,21,762,0.049464831703379064,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,weighted_cv,21,762,0.039718629943248464,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,active_cv,21,762,0.07910012181306987,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,21,762,0.03740597026019308,0.047962098201586756,0.040158232451205936,49,2
webis-touche2020,rr,2,0.01,uniform,22,742,0.08635279322811402,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,uniform_nz,22,742,0.07152860139477393,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,weighted,22,742,0.06327935624772238,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,active_judge,22,742,0.13984307888605763,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,strat_pilot,22,742,0.0641720897808221,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,weighted_cv,22,742,0.055571667556719384,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,active_cv,22,742,0.11291671434830013,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,22,742,0.04884524607000113,0.06327935624772238,0.09302637979522801,49,2
webis-touche2020,rr,2,0.01,uniform,23,770,0.14095224427219097,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,uniform_nz,23,770,0.0708560643684369,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,weighted,23,770,0.04631886676231878,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,active_judge,23,770,0.12392491080390125,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,strat_pilot,23,770,0.04673591599437558,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,weighted_cv,23,770,0.035265629739444096,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,active_cv,23,770,0.06263744252424881,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,23,770,0.03250243212354211,0.04631886676231878,0.04665521347990389,49,2
webis-touche2020,rr,2,0.01,uniform,24,779,0.0780419463994977,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,uniform_nz,24,779,0.05041443282627238,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,weighted,24,779,0.03500777082510666,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,active_judge,24,779,0.09478275010606955,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,strat_pilot,24,779,0.035591556776430326,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,weighted_cv,24,779,0.028938846001128636,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,active_cv,24,779,0.05594983345636996,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,24,779,0.026486735677614254,0.03500777082510666,0.0582051658526285,49,2
webis-touche2020,rr,2,0.01,uniform,25,768,0.06917042062153327,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,uniform_nz,25,768,0.05406454073442353,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,weighted,25,768,0.042435196494595664,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,active_judge,25,768,0.0969121683710033,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,strat_pilot,25,768,0.04205363290888837,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,weighted_cv,25,768,0.03733160296666919,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,active_cv,25,768,0.0756528435598974,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,25,768,0.03613381607180893,0.042435196494595664,0.013839209466144458,49,2
webis-touche2020,rr,2,0.01,uniform,26,767,0.15358432353829737,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,uniform_nz,26,767,0.07901255501977765,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,weighted,26,767,0.046056058301365096,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,active_judge,26,767,0.13422942433619536,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,strat_pilot,26,767,0.04710301051117129,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,weighted_cv,26,767,0.03412539756369459,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,active_cv,26,767,0.0584397650232078,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,26,767,0.03300228079354772,0.046056058301365096,0.05688437892105949,49,2
webis-touche2020,rr,2,0.01,uniform,27,742,0.1609006397194676,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,uniform_nz,27,742,0.08629950579254494,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,weighted,27,742,0.053482477790059234,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,active_judge,27,742,0.162552487258701,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,strat_pilot,27,742,0.05384060052969194,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,weighted_cv,27,742,0.04125968900369109,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,active_cv,27,742,0.086936677921325,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,27,742,0.03639052284214022,0.053482477790059234,0.06861815524965006,49,2
webis-touche2020,rr,2,0.01,uniform,28,753,0.07774786517334151,0.047733916233814136,0.05053949722323663,49,2
