collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
trec-covid,rr,30,0.01,weighted_cvl,10,1702,0.2955301754481236,0.3361591922501267,0.04062801281912561,50,1
trec-covid,rr,30,0.01,uniform,11,1682,2.057979659463629,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,uniform_nz,11,1682,0.9868658263616306,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,weighted,11,1682,0.3008522916010593,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,active_judge,11,1682,0.717443505842087,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,strat_pilot,11,1682,0.30176942474689616,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,weighted_cv,11,1682,0.11425742532262428,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,active_cv,11,1682,0.11701741453337147,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,weighted_cvl,11,1682,0.214200388460847,0.3008522916010593,0.08605252476983528,50,1
trec-covid,rr,30,0.01,uniform,12,1641,2.567209803549054,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,uniform_nz,12,1641,1.2721656702320094,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,weighted,12,1641,0.29989380902515805,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,active_judge,12,1641,0.7526414189826947,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,strat_pilot,12,1641,0.3162897836091948,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,weighted_cv,12,1641,0.11826242518881916,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,active_cv,12,1641,0.14662825614868452,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,weighted_cvl,12,1641,0.29989380902515805,0.29989380902515805,0.12864376321074822,50,1
trec-covid,rr,30,0.01,uniform,13,1648,0.8464676994368944,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,uniform_nz,13,1648,0.4609077138691414,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,weighted,13,1648,0.3005084904825991,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,active_judge,13,1648,0.7403033633611728,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,strat_pilot,13,1648,0.30518951440198716,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,weighted_cv,13,1648,0.10421330099257002,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,active_cv,13,1648,0.16723582799200745,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,weighted_cvl,13,1648,0.10218590840527701,0.3005084904825991,0.085742737237218,50,1
trec-covid,rr,30,0.01,uniform,14,1652,1.942562719629843,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,uniform_nz,14,1652,0.9213103390906516,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,weighted,14,1652,0.3175705227245049,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,active_judge,14,1652,0.8636744888077003,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,strat_pilot,14,1652,0.34538072637416056,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,weighted_cv,14,1652,0.12253256954069121,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,active_cv,14,1652,0.15381169438020578,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,weighted_cvl,14,1652,0.16735667834184847,0.3175705227245049,0.10043535322419629,50,1
trec-covid,rr,30,0.01,uniform,15,1732,1.2634203168555407,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,uniform_nz,15,1732,0.7028469483266646,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,weighted,15,1732,0.35737705796267444,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,active_judge,15,1732,0.8403761560836653,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,strat_pilot,15,1732,0.3811698645534395,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,weighted_cv,15,1732,0.16740555257258113,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,active_cv,15,1732,0.219875178262766,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,weighted_cvl,15,1732,0.19744463881729185,0.35737705796267444,0.11223175153440233,50,1
trec-covid,rr,30,0.01,uniform,16,1679,1.3667926892391535,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,uniform_nz,16,1679,0.7478314169517716,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,weighted,16,1679,0.3298458788025004,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,active_judge,16,1679,0.7908280170857004,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,strat_pilot,16,1679,0.3386261348839528,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,weighted_cv,16,1679,0.13796841000232507,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,active_cv,16,1679,0.21601079729007422,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,weighted_cvl,16,1679,0.19586775629428008,0.3298458788025004,0.08570560398602102,50,1
trec-covid,rr,30,0.01,uniform,17,1658,0.88024156429572,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,uniform_nz,17,1658,0.5141474681608663,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,weighted,17,1658,0.32009238022722764,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,active_judge,17,1658,0.785067957837132,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,strat_pilot,17,1658,0.33282028691055787,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,weighted_cv,17,1658,0.12575689355689632,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,active_cv,17,1658,0.15034802802482455,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,weighted_cvl,17,1658,0.1505661434238325,0.32009238022722764,0.1059906820187657,50,1
trec-covid,rr,30,0.01,uniform,18,1655,2.2982884846856813,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,uniform_nz,18,1655,1.2297741545926084,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,weighted,18,1655,0.34970544211892685,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,active_judge,18,1655,0.7504762139779503,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,strat_pilot,18,1655,0.3601796209061103,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,weighted_cv,18,1655,0.15669926955056562,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,active_cv,18,1655,0.1848801696577069,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,weighted_cvl,18,1655,0.34970544211892685,0.34970544211892685,0.08835480897939803,50,1
trec-covid,rr,30,0.01,uniform,19,1657,1.9252269271334896,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,uniform_nz,19,1657,1.0242688367035253,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,weighted,19,1657,0.33321318187954907,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,active_judge,19,1657,0.7644714696827111,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,strat_pilot,19,1657,0.35071703176781194,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,weighted_cv,19,1657,0.09585748355454687,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,active_cv,19,1657,0.11383021379512592,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,weighted_cvl,19,1657,0.33321318187954907,0.33321318187954907,0.10515289202562977,50,1
trec-covid,rr,30,0.01,uniform,20,1621,1.788541458655987,0.314095198000517,0.10960256381270957,50,1
